stage ,Check_id,check_desc,stratum1,stratum2,stratum3,stratum4,stratum5,ºñ°í,dq_category,dq_subcategory,dq_severity,origin_tool,comment,,
META ,3 ,check incorrect domain code,dev_measurement,,,,,,Conformance,Value,,DQUEEN,,,
META ,3 ,check incorrect domain code,dev_procedure,,,,,,Conformance,Value,,DQUEEN,,,
META ,3 ,check incorrect domain code,dev_procedure,,,,,,Conformance,Value,,DQUEEN,,,
META ,3 ,check incorrect domain code,dev_specimen,,,,,,Conformance,Value,,DQUEEN,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,care_site,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,Type concept idµµ ³ª´²¾ß ÇÏ³ª ,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,condiion_era,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,condition_occurrence,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,death,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,device_exposure,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,dose_era,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,drug_era,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,drug_exposure,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,measurement,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,note,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,note_nlp,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,observation,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,person,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,procedure_occurrence,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,provider,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,specimen ,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,visit_detail,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,4 ,Count of unmapped source values in a domain exceeds threshold,visit_occurrence,,,,,unmapped data propotion check by concept level ,Conformance,Value,,Achilles,,,
CDM,5 ,validates format of source value,condition_occurrence,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,death,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,device_exposure,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,drug_exposure,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,measurement,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,observation,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,person,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,procedure_occurrence,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,provider,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,specimen ,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,visit_detail,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,5 ,validates format of source value,visit_occurrence,,,,,,Conformance,Value,,DQ tool kit,,,
CDM,6 ,validate with concept length ,condition_occurrence,,,,,valid concept length 0 to 10,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,death,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,device_exposure,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,drug_exposure,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,measurement,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,observation,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,person,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,procedure_occurrence,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,provider,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,specimen ,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,visit_detail,,,,,,Conformance,Value,,DQUEEN,,,
CDM,6 ,validate with concept length ,visit_occurrence,,,,,,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_cost,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_device,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_drug,,,,,,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_measurement,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_procedure,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_procedure,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,7 ,validation localcode length,dev_specimen,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_cost,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_device,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_drug,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_measurement,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_procedure,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_procedure,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
META ,8 ,validation localcode format,dev_specimen,,,,,validation standard extracted in dev_mapped,Conformance,Value,,DQUEEN,,,
CDM,9 ,zip_cd length is not stanard,care_site,,,,,,conformance,value,,DQUEEN,,,
CDM,9 ,zip_cd length is not stanard,lcoation ,,,,,,conformance,value,,DQUEEN,,,
CDM,9 ,zip_cd length is not stanard,person,,,,,,conformance,value,,DQUEEN,,,
META ,10 ,zip_cd length is not stanard,location ,,,,,,conformance,value,,DQUEEN,,,
META ,10 ,zip_cd length is not stanard,person,,,,,,conformance,value,,DQUEEN,,,
CDM,11 ,table name check ,attribute_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,care_site,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,cdm_source,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,cohort,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,cohort_attribute,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,cohort_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,concept,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,concept_ancestor,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,concept_class,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,concept_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,concept_synonym,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,condition_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,condition_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,cost,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,death,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,device_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,domain,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,dose_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,drug_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,drug_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,drug_strength,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,fact_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,location,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,measurement,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,metadata,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,note,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,note_nlp,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,observation,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,observation_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,payer_plan_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,person,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,procedure_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,provider,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,source_to_concept_map,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,specimen,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,visit_detail,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,visit_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,11 ,table name check ,vocabulary,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_clinicalnote,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_cost,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Death,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_device,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Diagnosis,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Drug,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_mapped,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Measurement ,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Observation,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_payer,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Person,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Procedure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_provider,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_siteinfo,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Specimen ,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,12 ,table name check ,Dev_Visit,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,attribute_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,care_site,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,cdm_source,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,cohort,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,cohort_attribute,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,cohort_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,concept,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,concept_ancestor,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,concept_class,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,concept_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,concept_synonym,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,condition_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,condition_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,cost,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,death,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,device_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,domain,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,dose_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,drug_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,drug_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,drug_strength,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,fact_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,location,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,measurement,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,metadata,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,note,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,note_nlp,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,observation,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,observation_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,payer_plan_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,person,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,procedure_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,provider,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,source_to_concept_map,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,specimen,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,visit_detail,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,visit_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,13 ,column name check ,vocabulary,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_clinicalnote,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_cost,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Death,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_device,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Diagnosis,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Drug,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_mapped,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Measurement ,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Observation,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_payer,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Person,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Procedure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_provider,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_siteinfo,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Specimen ,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
META ,14 ,column name check ,Dev_Visit,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,attribute_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,care_site,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,cdm_source,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,cohort,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,cohort_attribute,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,cohort_definition,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,concept,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,concept_ancestor,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,concept_class,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,concept_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,concept_synonym,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,condition_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,condition_occurrence,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,cost,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,death,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,device_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,domain,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,dose_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,drug_era,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,drug_exposure,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,drug_strength,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,fact_relationship,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,location,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,measurement,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,metadata,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,note,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,note_nlp,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,observation,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,observation_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,payer_plan_period,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
CDM,15 ,check the datatype by initial tble ,person,,,,,,conformance,value,,DQUEEN/Achilles/Dqtoolkit/Dqe-c,,,
